"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","microtubule","GO:0005874","false","0.00213669326867494","2.670257818164894","326","1320","45","16673","ENSG00000162413,ENSG00000142945,ENSG00000163468,ENSG00000138182,ENSG00000138160,ENSG00000165660,ENSG00000137497,ENSG00000086827,ENSG00000087470,ENSG00000184445,ENSG00000102781,ENSG00000126216,ENSG00000198718,ENSG00000197102,ENSG00000261652,ENSG00000166851,ENSG00000124074,ENSG00000152240,ENSG00000079805,ENSG00000068903,ENSG00000084731,ENSG00000119777,ENSG00000138036,ENSG00000138095,ENSG00000135624,ENSG00000077380,ENSG00000127824,ENSG00000101222,ENSG00000101421,ENSG00000156261,ENSG00000075218,ENSG00000113966,ENSG00000144867,ENSG00000214367,ENSG00000205129,ENSG00000112984,ENSG00000072803,ENSG00000145919,ENSG00000196230,ENSG00000135315,ENSG00000120438,ENSG00000164885,ENSG00000197892,ENSG00000147874,ENSG00000106976"
"GO:CC","U1 snRNP","GO:0005685","false","0.0032999211728057484","2.4814964342507095","18","1320","7","16673","ENSG00000182004,ENSG00000007392,ENSG00000108848,ENSG00000077312,ENSG00000104852,ENSG00000100028,ENSG00000146963"
"GO:CC","rough endoplasmic reticulum membrane","GO:0030867","false","0.0032999211728057484","2.4814964342507095","18","1320","7","16673","ENSG00000197728,ENSG00000213741,ENSG00000170540,ENSG00000233927,ENSG00000058262,ENSG00000144867,ENSG00000130985"
"GO:CC","endonuclease complex","GO:1905348","false","0.005226922455649082","2.281753942858728","37","1320","10","16673","ENSG00000116918,ENSG00000148688,ENSG00000172409,ENSG00000172732,ENSG00000139546,ENSG00000100890,ENSG00000128191,ENSG00000124787,ENSG00000241370,ENSG00000104356"
"GO:CC","endoribonuclease complex","GO:1902555","false","0.005572285353186031","2.2539666517346295","31","1320","9","16673","ENSG00000116918,ENSG00000148688,ENSG00000172409,ENSG00000139546,ENSG00000100890,ENSG00000128191,ENSG00000124787,ENSG00000241370,ENSG00000104356"
"GO:CC","site of DNA damage","GO:0090734","false","0.005945307933122986","2.22582564647965","113","1320","20","16673","ENSG00000160803,ENSG00000160789,ENSG00000119906,ENSG00000110107,ENSG00000167986,ENSG00000186280,ENSG00000129484,ENSG00000051180,ENSG00000141499,ENSG00000176563,ENSG00000108468,ENSG00000136504,ENSG00000178951,ENSG00000169621,ENSG00000138375,ENSG00000170364,ENSG00000070950,ENSG00000253251,ENSG00000122008,ENSG00000113522"
"GO:CC","mitochondrial small ribosomal subunit","GO:0005763","false","0.006970516515620476","2.156735039466908","32","1320","9","16673","ENSG00000175756,ENSG00000182180,ENSG00000172586,ENSG00000198015,ENSG00000181991,ENSG00000132300,ENSG00000125901,ENSG00000131368,ENSG00000175110"
"GO:CC","organellar small ribosomal subunit","GO:0000314","false","0.006970516515620476","2.156735039466908","32","1320","9","16673","ENSG00000175756,ENSG00000182180,ENSG00000172586,ENSG00000198015,ENSG00000181991,ENSG00000132300,ENSG00000125901,ENSG00000131368,ENSG00000175110"
"GO:CC","core mediator complex","GO:0070847","true","0.007019230445671554","2.15371049919761","26","1320","8","16673","ENSG00000161920,ENSG00000108590,ENSG00000008838,ENSG00000175221,ENSG00000063322,ENSG00000099917,ENSG00000160563,ENSG00000148297"
"GO:CC","U2-type prespliceosome","GO:0071004","false","0.007019230445671554","2.15371049919761","15","1320","6","16673","ENSG00000007392,ENSG00000108848,ENSG00000104852,ENSG00000115524,ENSG00000099995,ENSG00000146963"
"GO:CC","prespliceosome","GO:0071010","false","0.007019230445671554","2.15371049919761","15","1320","6","16673","ENSG00000007392,ENSG00000108848,ENSG00000104852,ENSG00000115524,ENSG00000099995,ENSG00000146963"
"GO:CC","mitochondrial respirasome","GO:0005746","false","0.008590822330231193","2.0659652626660328","92","1320","17","16673","ENSG00000014919,ENSG00000167792,ENSG00000139180,ENSG00000140990,ENSG00000140740,ENSG00000131143,ENSG00000267855,ENSG00000170906,ENSG00000184076,ENSG00000127184,ENSG00000131495,ENSG00000090266,ENSG00000156467,ENSG00000147684,ENSG00000137038,ENSG00000131174,ENSG00000125356"
"GO:CC","mitochondrial proton-transporting ATP synthase complex","GO:0005753","false","0.008632735070346446","2.06385158692993","21","1320","7","16673","ENSG00000156411,ENSG00000159199,ENSG00000152234,ENSG00000099624,ENSG00000154723,ENSG00000241837,ENSG00000241468"
"GO:CC","proton-transporting ATP synthase complex","GO:0045259","false","0.008632735070346446","2.06385158692993","21","1320","7","16673","ENSG00000156411,ENSG00000159199,ENSG00000152234,ENSG00000099624,ENSG00000154723,ENSG00000241837,ENSG00000241468"
"GO:CC","chromosome","GO:0005694","false","0.010201541567597328","1.991334196501377","1727","1320","171","16673","ENSG00000188976,ENSG00000169598,ENSG00000175279,ENSG00000160049,ENSG00000180198,ENSG00000134690,ENSG00000142945,ENSG00000117505,ENSG00000160803,ENSG00000160789,ENSG00000000460,ENSG00000047410,ENSG00000116750,ENSG00000257315,ENSG00000117650,ENSG00000054267,ENSG00000153207,ENSG00000119906,ENSG00000119950,ENSG00000154473,ENSG00000110107,ENSG00000167986,ENSG00000168496,ENSG00000149503,ENSG00000133895,ENSG00000172732,ENSG00000174744,ENSG00000254469,ENSG00000186280,ENSG00000086827,ENSG00000111269,ENSG00000174243,ENSG00000110925,ENSG00000110958,ENSG00000198056,ENSG00000175203,ENSG00000139233,ENSG00000111615,ENSG00000088986,ENSG00000184445,ENSG00000153487,ENSG00000129484,ENSG00000100462,ENSG00000136367,ENSG00000100916,ENSG00000125952,ENSG00000182185,ENSG00000156970,ENSG00000051180,ENSG00000131652,ENSG00000103343,ENSG00000090447,ENSG00000072864,ENSG00000166851,ENSG00000176476,ENSG00000169592,ENSG00000149922,ENSG00000080603,ENSG00000103479,ENSG00000181938,ENSG00000102901,ENSG00000072736,ENSG00000132604,ENSG00000153774,ENSG00000167842,ENSG00000141510,ENSG00000141499,ENSG00000177302,ENSG00000176994,ENSG00000109118,ENSG00000010244,ENSG00000126368,ENSG00000108773,ENSG00000176563,ENSG00000120071,ENSG00000108468,ENSG00000136504,ENSG00000132475,ENSG00000132471,ENSG00000089685,ENSG00000169689,ENSG00000178951,ENSG00000132016,ENSG00000132005,ENSG00000105656,ENSG00000129933,ENSG00000011332,ENSG00000068903,ENSG00000079432,ENSG00000012061,ENSG00000170608,ENSG00000126456,ENSG00000105619,ENSG00000083838,ENSG00000138092,ENSG00000138095,ENSG00000275052,ENSG00000169621,ENSG00000115317,ENSG00000068654,ENSG00000125630,ENSG00000136715,ENSG00000121988,ENSG00000115947,ENSG00000152253,ENSG00000115524,ENSG00000138375,ENSG00000115685,ENSG00000101421,ENSG00000080839,ENSG00000124151,ENSG00000258366,ENSG00000197114,ENSG00000154727,ENSG00000159055,ENSG00000093009,ENSG00000183765,ENSG00000100029,ENSG00000100401,ENSG00000170364,ENSG00000070950,ENSG00000153560,ENSG00000113810,ENSG00000170448,ENSG00000047315,ENSG00000164105,ENSG00000164151,ENSG00000253251,ENSG00000122008,ENSG00000198677,ENSG00000113522,ENSG00000112983,ENSG00000113141,ENSG00000072803,ENSG00000145919,ENSG00000124535,ENSG00000204371,ENSG00000213676,ENSG00000204231,ENSG00000112561,ENSG00000124702,ENSG00000112118,ENSG00000135336,ENSG00000135334,ENSG00000075624,ENSG00000105866,ENSG00000106290,ENSG00000161036,ENSG00000105856,ENSG00000071243,ENSG00000171320,ENSG00000147421,ENSG00000165392,ENSG00000147548,ENSG00000120533,ENSG00000104472,ENSG00000178896,ENSG00000137074,ENSG00000221829,ENSG00000107175,ENSG00000158169,ENSG00000148229,ENSG00000148200,ENSG00000005302,ENSG00000181544,ENSG00000130985,ENSG00000072501,ENSG00000184481,ENSG00000147099,ENSG00000123562,ENSG00000125676"
"GO:CC","respirasome","GO:0070469","false","0.010589317154781008","1.9751320441863776","94","1320","17","16673","ENSG00000014919,ENSG00000167792,ENSG00000139180,ENSG00000140990,ENSG00000140740,ENSG00000131143,ENSG00000267855,ENSG00000170906,ENSG00000184076,ENSG00000127184,ENSG00000131495,ENSG00000090266,ENSG00000156467,ENSG00000147684,ENSG00000137038,ENSG00000131174,ENSG00000125356"
"GO:CC","mitochondrial crista junction","GO:0044284","false","0.011213332183683998","1.9502653121199223","7","1320","4","16673","ENSG00000174917,ENSG00000132305,ENSG00000159685,ENSG00000106554"
"GO:CC","Sin3 complex","GO:0016580","false","0.011213332183683998","1.9502653121199223","22","1320","7","16673","ENSG00000054267,ENSG00000174744,ENSG00000153487,ENSG00000100916,ENSG00000109118,ENSG00000136715,ENSG00000164105"
"GO:CC","Sin3-type complex","GO:0070822","false","0.011213332183683998","1.9502653121199223","22","1320","7","16673","ENSG00000054267,ENSG00000174744,ENSG00000153487,ENSG00000100916,ENSG00000109118,ENSG00000136715,ENSG00000164105"
