"V1","V2","V3","V4"
"MA0489.1","89","163.72","-5.6097"
"MA0490.2","44","130.72","-6.5529"
"MA0491.2","45","128.29","-5.6924"
"MA0492.1","93","132.82","-2.6804"
"MA0493.1","1060","419.27","29.6833"
"MA0494.1","75","152.84","-6.6253"
"MA0495.3","45","191.71","-10.4986"
"MA0496.3","163","236.32","-4.2862"
"MA0497.1","77","312.99","-12.3138"
"MA0498.2","150","190.74","-2.8743"
"MA0499.2","303","275.31","1.779"
"MA0500.2","474","313.87","6.3175"
"MA0501.1","72","159.83","-6.6599"
"MA0502.2","376","176.6","13.1377"
"MA0503.1","154","221.36","-4.372"
"MA0504.1","424","306.58","5.8661"
"MA0505.1","320","414.76","-4.1849"
"MA0506.1","2035","148.88","95.4647"
"MA0507.1","137","330.7","-9.1698"
"MA0508.3","378","579.38","-6.8936"
"MA0509.2","189","166.8","1.7381"
"MA0510.2","262","137.52","8.1759"
"MA0511.2","103","106","-0.325"
"MA0512.2","207","196.73","0.7304"
"MA0513.1","281","331.88","-2.1238"
"MA0514.1","458","719.53","-6.4619"
"MA0515.1","219","297.77","-4.4578"
"MA0516.2","1470","509.17","36.1644"
"MA0517.1","290","547.57","-9.3985"
"MA0518.1","438","277.35","10.3571"
"MA0519.1","543","280.9","13.3243"
"MA0520.1","154","269.9","-6.1845"
"MA0521.1","521","346.92","7.5018"
"MA0522.3","499","306.08","7.9771"
"MA0523.1","143","284.93","-7.8235"
"MA0524.2","853","273.03","21.8646"
"MA0525.2","170","120.8","3.3542"
"MA0526.3","230","184.44","2.8802"
"MA0527.1","309","20.6","60.4416"
"MA0528.2","1593","833.13","9.3752"
"MA0591.1","189","218.04","-1.6849"
"MA0592.3","173","205.07","-2.041"
"MA0593.1","92","240.3","-9.2902"
"MA0594.2","19","10.01","2.7539"
"MA0595.1","147","133.35","1.1707"
"MA0596.1","109","143.5","-3.0682"
"MA0597.1","173","168.04","0.4309"
"MA0598.3","419","357.66","3.0264"
"MA0599.1","3196","874.86","46.9448"
"MA0600.2","248","132.72","7.9924"
"MA0601.1","26","177.16","-7.3994"
"MA0602.1","24","170.13","-9.7873"
"MA0603.1","235","61.94","19.0089"
"MA0604.1","41","9.7","9.8532"
"MA0605.2","238","95.57","10.0544"
"MA0606.1","94","241.1","-9.3559"
"MA0607.1","25","149.45","-10.3589"
"MA0608.1","262","78.96","17.0545"
"MA0609.2","270","121","9.2331"
"MA0610.1","22","122.64","-8.1578"
"MA0611.1","86","168.87","-5.2457"
"MA0612.2","18","33.64","-1.7837"
"MA0613.1","37","62.96","-3.0847"
"MA0614.1","42","152.28","-8.9633"
"MA0615.1","8","11.74","-0.7979"
"MA0616.2","354","80.55","20.2657"
"MA0618.1","30","130.3","-8.1141"
"MA0619.1","41","179.48","-8.757"
"MA0620.3","157","162.96","-0.3411"
"MA0621.1","24","162.48","-7.7478"
"MA0622.1","267","93.86","15.9648"
"MA0623.2","20","117.56","-6.56"
"MA0624.1","79","214.32","-9.1443"
"MA0625.1","84","229.56","-9.1021"
"MA0626.1","185","97.46","7.4186"
"MA0627.2","117","232.33","-7.0505"
"MA0628.1","14","115.46","-4.9874"
"MA0629.1","54","90.68","-4.0892"
"MA0630.1","30","143","-5.3516"
"MA0631.1","14","88.56","-8.127"
"MA0632.2","798","92.04","36.6273"
"MA0633.1","25","163.32","-7.767"
"MA0634.1","36","118.37","-7.305"
"MA0635.1","21","65.37","-5.8977"
"MA0636.1","266","59.65","18.2846"
"MA0637.1","68","20.83","10.0197"
"MA0638.1","115","35.39","14.8747"
"MA0639.1","25","66.29","-3.434"
"MA0640.2","452","386.46","2.915"
"MA0641.1","536","98.09","39.9752"
"MA0642.1","48","79.98","-3.175"
"MA0643.1","162","171.71","-0.7808"
"MA0644.1","30","117.8","-6.0264"
"MA0645.1","555","137.21","32.5612"
"MA0646.1","100","103.44","-0.3208"
"MA0647.1","77","99.26","-1.8509"
"MA0648.1","67","74.94","-0.9341"
"MA0649.1","232","76.02","15.1415"
"MA0650.2","53","190.36","-7.8618"
"MA0651.1","20","48.94","-3.8282"
"MA0652.1","87","131.69","-4.5168"
"MA0653.1","136","229.35","-6.0581"
"MA0654.1","15","78.27","-7.0579"
"MA0655.1","52","110.41","-4.8454"
