"V1","V2","V3","V4"
"MA1574.1","217","175.6","3.1008"
"MA1575.1","202","222.15","-0.9879"
"MA1576.1","176","257.65","-4.5652"
"MA1577.1","15","78.25","-6.8975"
"MA1578.1","1183","616.97","10.4325"
"MA1579.1","177","313.52","-6.7141"
"MA1580.1","40","102.4","-5.244"
"MA1581.1","342","251.08","5.1111"
"MA1583.1","147","30.49","21.1124"
"MA1584.1","736","186.07","36.065"
"MA1585.1","76","99.29","-2.5069"
"MA1587.1","500","357.57","5.8954"
"MA1588.1","66","147.42","-6.8951"
"MA1589.1","119","189.78","-4.9028"
"MA1592.1","120","250.57","-8.177"
"MA1593.1","121","271.22","-9.7103"
"MA1594.1","91","167.19","-6.2983"
"MA1596.1","2336","670.69","40.225"
"MA1597.1","269","314.47","-2.5964"
"MA1599.1","528","225.15","17.9796"
"MA1600.1","224","223.14","0.0524"
"MA1601.1","474","323.05","8.8348"
"MA1602.1","64","88","-2.2649"
"MA1603.1","59","143.21","-6.0891"
"MA1604.1","497","330.25","8.5943"
"MA1606.1","72","218.79","-8.9713"
"MA1607.1","83","261.89","-10.0521"
"MA1608.1","50","102.29","-5.0419"
"MA1615.1","757","412.1","13.832"
"MA1616.1","251","303.77","-2.8426"
"MA1618.1","106","242.48","-8.1496"
"MA1619.1","348","327.78","0.7832"
"MA1620.1","207","277.13","-3.9592"
"MA1621.1","208","264.67","-3.2016"
"MA1622.1","63","152.51","-5.7257"
"MA1623.1","307","753.67","-13.4624"
"MA1624.1","432","275","8.329"
"MA1625.1","442","269.43","10.1297"
"MA1627.1","1864","931.87","14.2656"
"MA1628.1","695","351.69","17.6454"
"MA1629.1","613","422.77","7.779"
"MA1630.1","1056","426.28","25.1816"
"MA1631.1","607","363.59","11.5491"
"MA1632.1","120","137.83","-1.4141"
"MA1633.1","147","210.17","-3.608"
"MA1634.1","64","140.67","-5.7211"
"MA1635.1","660","371.55","9.5523"
"MA1636.1","30","115.88","-6.8802"
"MA1637.1","517","328.8","9.3635"
"MA1638.1","110","236.81","-8.8293"
"MA1639.1","29","133.45","-9.2803"
"MA1640.1","29","187.3","-12.1393"
"MA1641.1","352","313.61","1.334"
"MA1642.1","143","292.16","-8.6966"
"MA1643.1","342","307.8","1.4517"
"MA1644.1","264","153.33","8.124"
"MA1645.1","71","151.08","-6.7574"
"MA1646.1","290","399.1","-4.7909"
"MA1647.1","161","293.83","-6.8557"
"MA1648.1","515","303.72","11.9382"
"MA1649.1","166","240.23","-4.6477"
"MA1650.1","1467","78.21","133.8331"
"MA1651.1","439","258.4","11.34"
"MA1652.1","485","428.73","2.7523"
"MA1653.1","4321","1348.75","32.3203"
"MA1654.1","298","314.18","-0.9754"
"MA1655.1","247","234.48","0.8038"
"MA1656.1","383","241.36","7.529"
"MA1657.1","63","131.3","-6.3094"
"MA1683.1","87","182.76","-6.7444"
